English,Signs,Unicode Signs
"Tear, rip",aQ%%LFx,റₒȎȎ☓ᘐᙾ
Tears,d(57MEdRvzzy,∣ᓂᒍᒐⴳṾ∣℩⁼⁷⁷ᴺ
Telegram,qP!b!LGy,ᕬ⸝ⵀΠⵀ☓ᕤᴺ
Telegraph,qP!b!LG,ᕬ⸝ⵀΠⵀ☓ᕤ
Telescope,c&%3MJ!y,СO̮Ȏ⦣ⴳᘕⵀᴺ
Tell,"d""Q6LJ""G",∣ⴱₒ⩇☓ᘕⴱᕤ
Tell-a-story,fQ**LEABy,ᗐₒⴲⴲ☓Ṿᐸᐳᴺ
Tell-him,"d""Q6LJ""G8P",∣ⴱₒ⩇☓ᘕⴱᕤᑯ⸝
Temperature,d&P%PMDEy,∣O̮⸝Ȏ⸝ⴳᐲṾᴺ
Tennis,aQ!8SJBNIA,റₒⵀᑯ⁊ᘕᐳ¦ᘖᐸ
Test (n/v),d%%EdRv,∣ȎȎṾ∣℩⁼
Test (n),d%%EdRvy,∣ȎȎṾ∣℩⁼ᴺ
Thank you,"b#6LJ""G",Πⵚ⩇☓ᘕⴱᕤ
Thanksgiving,b#6L-a&&Gbv,Πⵚ⩇☓-റO̮O̮ᕤΠ⁼
That 1,iP!b!BL,Һ⸝ⵀΠⵀᐳ☓
That 2,iP!b!EL,Һ⸝ⵀΠⵀṾ☓
That group,p!8PHy,Жⵀᑯ⸝ꕊᴺ
That one,iP!J!N,Һ⸝ⵀᘕⵀ¦
Their,b!8PGA,Πⵀᑯ⸝ᕤᐸ
Themselves 1,aP(8PGyA,റ⸝ᓂᑯ⸝ᕤᴺᐸ
Themselves 2,aP(8PGA,റ⸝ᓂᑯ⸝ᕤᐸ
There,d(:PN,∣ᓂᑲ⸝¦
Thermometer 1,dS!6Ly,∣⁊ⵀ⩇☓ᴺ
Thermometer 2,d(6Ly,∣ᓂ⩇☓ᴺ
They,d(8PGA,∣ᓂᑯ⸝ᕤᐸ
Thief,u!s)AuRy,ᐯⵀരᓇᐸᐯ℩ᴺ
Thin,g!6ME,⊃ⵀ⩇ⴳṾ
Think,d(0Ly,∣ᓂᨓ☓ᴺ
Think about,d(0Hy,∣ᓂᨓꕊᴺ
Think of,d(0FL,∣ᓂᨓᘐ☓
Thirsty,d#9(ME,∣ⵚɤᓂⴳṾ
This 1,d(b!BL,∣ᓂΠⵀᐳ☓
This 2,d(b!BLy,∣ᓂΠⵀᐳ☓ᴺ
Those two,u&8PBy,ᐯO̮ᑯ⸝ᐳᴺ
Throat,b#9(MED,ΠⵚɤᓂⴳṾᐲ
Throw,s&5J&GuP,രO̮ᒍᘕO̮ᕤᐯ⸝
Throw out,s&%DApv,രO̮ȎᐲᐸЖ⁼
Thunder,d(2L-s&8S:SCwy,∣ᓂᖌ☓-രO̮ᑯ⁊ᑲ⁊ⵢᣛᴺ
Thursday 1,"h""Hy",⫪ⴱꕊᴺ
Thursday 2,t!NJh,൪ⵀ¦ᘕ⫪
Ticket,uR+b&BLy,ᐯ℩◷ΠO̮ᐳ☓ᴺ
Tie,aQ((HwLAB,റₒᓂᓂꕊᣛ☓ᐸᐳ
Tiger,pR!57LABy,Ж℩ⵀᒍᒐ☓ᐸᐳᴺ
Tighten with wrench,s%d%PJE,രȎ∣Ȏ⸝ᘕṾ
Time,"dR!s""SLy",∣℩ⵀരⴱ⁊☓ᴺ
Tiny,g$b!L,⊃ⵕΠⵀ☓
Tiptoe,dS!EwyG,∣⁊ⵀṾᣛᴺᕤ
Tired,bS!8:MJv,Π⁊ⵀᑯᑲⴳᘕ⁼
Today,"iP""Evy",Һ⸝ⴱṾ⁼ᴺ
Together 1,a!!LGvy,റⵀⵀ☓ᕤ⁼ᴺ
Together 2,a!!LHvy,റⵀⵀ☓ꕊ⁼ᴺ
Toilet,t%By,൪Ȏᐳᴺ
Tomato,"d%P6L-d#""QELE",∣Ȏ⸝⩇☓-∣ⵚⴱₒṾ☓Ṿ
Tomorrow,aP%5LJG,റ⸝Ȏᒍ☓ᘕᕤ
Tongue,d(6QLy,∣ᓂ⩇ₒ☓ᴺ
Too much,"bS#""QLDG",Π⁊ⵚⴱₒ☓ᐲᕤ
Tooth,dR!6QLy,∣℩ⵀ⩇ₒ☓ᴺ
Tooth-brush,d%6Bzzy,∣Ȏ⩇ᐳ⁷⁷ᴺ
"Torment, tease hard",oS!6L-oS($Gavy,О⁊ⵀ⩇☓-О⁊ᓂⵕᕤറ⁼ᴺ
Tortilla,b!!LJxLy,Πⵀⵀ☓ᘕᙾ☓ᴺ
Toss and turn,uR!b!LJLy,ᐯ℩ⵀΠⵀ☓ᘕ☓ᴺ
Touch,"qP!s""EL",ᕬ⸝ⵀരⴱṾ☓
Tow,dR##LAv,∣℩ⵚⵚ☓ᐸ⁼
Toward 1,d((GEL,∣ᓂᓂᕤṾ☓
Toward 2,d##GEL,∣ⵚⵚᕤṾ☓
Towel,s%8:Cvzzy,രȎᑯᑲⵢ⁼⁷⁷ᴺ
Towel-off,s%8:Cxy,രȎᑯᑲⵢᙾᴺ
Track,oS!3L-oS!b!LyG,О⁊ⵀ⦣☓-О⁊ⵀΠⵀ☓ᴺᕤ
Trade,aQ($GxEv,റₒᓂⵕᕤᙾṾ⁼
Train (n),"h#""QMGFy",⫪ⵚⴱₒⴳᕤᘐᴺ
Train (v),t!d%MGFy,൪ⵀ∣Ȏⴳᕤᘐᴺ
Training,t!d%MGFzzy,൪ⵀ∣Ȏⴳᕤᘐ⁷⁷ᴺ
Transfer,uR&IA,ᐯ℩O̮ᘖᐸ
Trash can,d%$PLEF-d%)SL,∣Ȏⵕ⸝☓Ṿᘐ-∣Ȏᓇ⁊☓
Travel,d((Hwy,∣ᓂᓂꕊᣛᴺ
"Treat, pay for 1",oS!Ga,О⁊ⵀᕤറ
"Treat, pay for 2",oS(OVGa,О⁊ᓂ¦ᐨʟᕤറ
Tree,"p)b""MJy",ЖᓇΠⴱⴳᘕᴺ
Truck,s((;S=SGFwy,രᓂᓂᕟ⁊ᕞ⁊ᕤᘐᣛᴺ
"Try, strive",s((IGv,രᓂᓂᘖᕤ⁼
Tuesday,"t""Hy",൪ⴱꕊᴺ
Turkey,g%3LE9L,⊃Ȏ⦣☓Ṿɤ☓
Turn key,dR(b!MJ,∣℩ᓂΠⵀⴳᘕ
Turn left,b&GJB,ΠO̮ᕤᘕᐳ
Turn off light,p!/S1SEoSv,Жⵀᕂ⁊ᕃ⁊ṾО⁊⁼
Turn off water,pR!J%,Ж℩ⵀᘕȎ
Turn on light,oS!/S1SDpSv,О⁊ⵀᕂ⁊ᕃ⁊ᐲЖ⁊⁼
Turn on water,pR!J&,Ж℩ⵀᘕO̮
Turn over,"b""NVINV",Πⴱ¦ʟᘖ¦ʟ
Turn right,b&GIA,ΠO̮ᕤᘖᐸ
Turtle,aP%c*MK,റ⸝ȎСⴲⴳ≈
Twin,h%6LBL,⫪Ȏ⩇☓ᐳ☓
Type,nT%%KEwy,ቨ℩⸝ȎȎ≈Ṿᣛᴺ
Typewriter,nT%%KEwzzy,ቨ℩⸝ȎȎ≈Ṿᣛ⁷⁷ᴺ
Ugly,d%3AdR,∣Ȏ⦣ᐸ∣℩
Umbrella,s&%LDy,രO̮Ȏ☓ᐲᴺ
Uncle,h%P5LEy,⫪Ȏ⸝ᒍ☓Ṿᴺ
Under,aP%b!<S9SHy,റ⸝ȎΠⵀЭ⁊ɤ⁊ꕊᴺ
Underwear,pR!6LEsy,Ж℩ⵀ⩇☓Ṿരᴺ
University,h!b!LADB,⫪ⵀΠⵀ☓ᐸᐲᐳ
Unlatch,fQ**LABp,ᗐₒⴲⴲ☓ᐸᐳЖ
Up,d(D/S,∣ᓂᐲᕂ⁊
Upright inanimate (cl),"aP&b""EL",റ⸝O̮ΠⴱṾ☓
Upset stomach,pR!<MHy,Ж℩ⵀЭⴳꕊᴺ
Us,d(8LB:L,∣ᓂᑯ☓ᐳᑲ☓
Used up 1,c&b!MAs,СO̮Πⵀⴳᐸര
Used up 2,c&b!MGs,СO̮Πⵀⴳᕤര
Vacation,p%8:FLv,ЖȎᑯᑲᘐ☓⁼
Vacuum 1,aQ%GFy,റₒȎᕤᘐᴺ
Vacuum 2,pS!b!MGFy,Ж⁊ⵀΠⵀⴳᕤᘐᴺ
Vacuum cleaner 1,aQ(GFzzy,റₒᓂᕤᘐ⁷⁷ᴺ
Vacuum cleaner 2,pS!b!MGFzzy,Ж⁊ⵀΠⵀⴳᕤᘐ⁷⁷ᴺ
Valentine's day,u##LABDBAEL,ᐯⵚⵚ☓ᐸᐳᐲᐳᐸṾ☓
Vanish,oS!!ABa,О⁊ⵀⵀᐸᐳറ
Various,"d#""QLABvA",∣ⵚⴱₒ☓ᐸᐳ⁼ᐸ
"Various, vary (v)",d((EDxyAB,∣ᓂᓂṾᐲᙾᴺᐸᐳ
Vary,d((DExyAB,∣ᓂᓂᐲṾᙾᴺᐸᐳ
Verbal fight,d((Ivy,∣ᓂᓂᘖ⁼ᴺ
Vest,bS!8:LEvy,Π⁊ⵀᑯᑲ☓Ṿ⁼ᴺ
Videotape,u%b!LHtL,ᐯȎΠⵀ☓ꕊ൪☓
Viet Nam,u%2LhSL,ᐯȎᖌ☓⫪⁊☓
Visit,"u""GEwy",ᐯⴱᕤṾᣛᴺ
Volunteer,fQ*8LGzzy,ᗐₒⴲᑯ☓ᕤ⁷⁷ᴺ
"Volunteer, apply",fQ*8LGy,ᗐₒⴲᑯ☓ᕤᴺ
Vote,fQ!o*QEL,ᗐₒⵀОⴲₒṾ☓
Wait,p($NK,Жᓂⵕ¦≈
Wake up,oQ%2Q4QMdP,ОₒȎᖌₒᖍₒⴳ∣⸝
Walk,"b""J""Gwy",Πⴱᘕⴱᕤᣛᴺ
Walk on leash,aQ(G,റₒᓂᕤ
Wall,b%%LEv,ΠȎȎ☓Ṿ⁼
Walrus,g%6LJEoQv,⊃Ȏ⩇☓ᘕṾОₒ⁼
Wander,d(CG,∣ᓂⵢᕤ
Want,"p""EpRNv",ЖⴱṾЖ℩¦⁼
War,n((Cvy,ቨᓂᓂⵢ⁼ᴺ
Warm,sQ!6Gp,രₒⵀ⩇ᕤЖ
Warn,"b#""Ly",Πⵚⴱ☓ᴺ
Wash,b!!MHy,Πⵀⵀⴳꕊᴺ
Wash car,a!Hwy,റⵀꕊᣛᴺ
Wash dishes,a!b!MHy,റⵀΠⵀⴳꕊᴺ
Wash face,b#57Hwy,Πⵚᒍᒐꕊᣛᴺ
Wash windows,a!8S:SHwy,റⵀᑯ⁊ᑲ⁊ꕊᣛᴺ
Washing machine,pR!!Jxy,Ж℩ⵀⵀᘕᙾᴺ
Washington,f(8LGH,ᗐᓂᑯ☓ᕤꕊ
Watch,dT!6LG,∣℩⸝ⵀ⩇☓ᕤ
Water,f%6Ly,ᗐȎ⩇☓ᴺ
Water [with a hose],fQ%6L-dT%Ay,ᗐₒȎ⩇☓-∣℩⸝Ȏᐸᴺ
Watermelon,"f%6L-q!b""qPLy",ᗐȎ⩇☓-ᕬⵀΠⴱᕬ⸝☓ᴺ
Wave 1,p%%8S:SDEBv,ЖȎȎᑯ⁊ᑲ⁊ᐲṾᐳ⁼
Wave 2,p&By,ЖO̮ᐳᴺ
We two,k!FGy,७ⵀᘐᕤᴺ
Weave,"p!""MJ&Gvy",ЖⵀⴱⴳᘕO̮ᕤ⁼ᴺ
Wedding,p%%JBAoS*(L,ЖȎȎᘕᐳᐸО⁊ⴲᓂ☓
Wednesday,"f""Hy",ᗐⴱꕊᴺ
Week,d!b!MG,∣ⵀΠⵀⴳᕤ
Weekend,d&Pb%MG-b!(E,∣O̮⸝ΠȎⴳᕤ-ΠⵀᓂṾ
Weep,dR!2Q:SLIEvy,∣℩ⵀᖌₒᑲ⁊☓ᘖṾ⁼ᴺ
Weld,dP(b!C,∣⸝ᓂΠⵀⵢ
West,f%BN,ᗐȎᐳ¦
Wet,"p(6L-p""EoSvy",Жᓂ⩇☓-ЖⴱṾО⁊⁼ᴺ
What to do?,dP&&NoQvy,∣⸝O̮O̮¦Оₒ⁼ᴺ
What? 1,p&By,ЖO̮ᐳᴺ
What? 2,p&&BAy,ЖO̮O̮ᐳᐸᴺ
What?! 1,fQJhat,ᗐₒᘕ⫪റ൪
What?! 2,n&Jt,ቨO̮ᘕ൪
When,d((HL,∣ᓂᓂꕊ☓
Where,d&Ay,∣O̮ᐸᴺ
Which,aP%DEwy,റ⸝ȎᐲṾᣛᴺ
White,p!9LGo,Жⵀɤ☓ᕤО
White (caucasian),p!9LGo-o!3Fp,Жⵀɤ☓ᕤО-Оⵀ⦣ᘐЖ
Who?,dP%6MK,∣⸝Ȏ⩇ⴳ≈
Why 1,p!5SNqPy,Жⵀᒍ⁊¦ᕬ⸝ᴺ
Why 2,bP#0LGiP,Π⸝ⵚᨓ☓ᕤҺ⸝
Wide,b!!ABN,Πⵀⵀᐸᐳ¦
Wife,c%6L-c**L,СȎ⩇☓-Сⴲⴲ☓
Wilt,pS$c*KJ!,Ж⁊ⵕСⴲ≈ᘕⵀ
Wind,p!!Cvy,Жⵀⵀⵢ⁼ᴺ
Window,b&%ELy,ΠO̮ȎṾ☓ᴺ
Winter 1,f!!;=BAvzzy,ᗐⵀⵀᕟᕞᐳᐸ⁼⁷⁷ᴺ
Winter 2,s!!;=BAvzzy,രⵀⵀᕟᕞᐳᐸ⁼⁷⁷ᴺ
Wise 1,dR%0Ey,∣℩ȎᨓṾᴺ
Wise 2,dR%0J!y,∣℩Ȏᨓᘕⵀᴺ
Wish,pR!9ME,Ж℩ⵀɤⴳṾ
Witch,"dR""3L-dR!!L",∣℩ⴱ⦣☓-∣℩ⵀⵀ☓
With,a!!L,റⵀⵀ☓
Withdraw,pR!b!LDs,Ж℩ⵀΠⵀ☓ᐲര
Without,a!!LABp,റⵀⵀ☓ᐸᐳЖ
Wolf,pR!3LGo,Ж℩ⵀ⦣☓ᕤО
Woman,p%6LE9L,ЖȎ⩇☓Ṿɤ☓
Wood,"b&""MGFy",ΠO̮ⴱⴳᕤᘐᴺ
Work 1,"s$""Ly",രⵕⴱ☓ᴺ
Work 2,"s$""Lzzy",രⵕⴱ☓⁷⁷ᴺ
Workshop,f%%LJsLv,ᗐȎȎ☓ᘕര☓⁼
Worm,dR%b!MKG,∣℩ȎΠⵀⴳ≈ᕤ
Worse,k&%MBx,७O̮Ȏⴳᐳᙾ
Worship,uR(b!LEFvy,ᐯ℩ᓂΠⵀ☓Ṿᘐ⁼ᴺ
Wow 1,p&J&Ey,ЖO̮ᘕO̮Ṿᴺ
Wow 2,pR!6J&y,Ж℩ⵀ⩇ᘕO̮ᴺ
Wrestle,p++LJ&vy,Ж◷◷☓ᘕO̮⁼ᴺ
Wrestling,p++LJvzzy,Ж◷◷☓ᘕ⁼⁷⁷ᴺ
Wring out,s%%MJx,രȎȎⴳᘕᙾ
Wristwatch,"fQ&s""SELy",ᗐₒO̮രⴱ⁊Ṿ☓ᴺ
Write,oQ!b!LGy,ОₒⵀΠⵀ☓ᕤᴺ
Wrong,iP!6Ly,Һ⸝ⵀ⩇☓ᴺ
Year,s&%HL,രO̮Ȏꕊ☓
Yell,pR&&6DAB,Ж℩O̮O̮⩇ᐲᐸᐳ
Yellow,iP&Iy,Һ⸝O̮ᘖᴺ
Yes 1,s!J!y,രⵀᘕⵀᴺ
Yes 2,iPes,Һ⸝Ωര
Yes 3,"iP""J""s",Һ⸝ⴱᘕⴱര
Yesterday,aP%5LFL,റ⸝Ȏᒍ☓ᘐ☓
You,d(9PN,∣ᓂɤ⸝¦
You all,d(9PGA,∣ᓂɤ⸝ᕤᐸ
You two,u%9PBy,ᐯȎɤ⸝ᐳᴺ
Young,bS!8:LDvy,Π⁊ⵀᑯᑲ☓ᐲ⁼ᴺ
Your,b!9PN,Πⵀɤ⸝¦
Yourself,aP(9PGy,റ⸝ᓂɤ⸝ᕤᴺ
Yugoslavia,iP!:LE;L,Һ⸝ⵀᑲ☓Ṿᕟ☓
Zig-zag stripes,n((DEyA,ቨᓂᓂᐲṾᴺᐸ
Zip,aQ((LDN,റₒᓂᓂ☓ᐲ¦
Zipper,aQ((LDy,റₒᓂᓂ☓ᐲᴺ
